,year,months1
0,2014,18.0
2,2014,24.0
4,2014,144.0
12,2014,5.7
15,2014,13.0
16,2014,30.0
18,2014,168.0
19,2014,192.0
20,2014,60.0
22,2014,1.2333333333333334
23,2014,4.533333333333333
25,2014,36.0
26,2014,24.0
27,2014,36.0
28,2014,48.0
29,2014,18.466666666666665
34,2014,36.0
36,2014,45.0
38,2014,60.0
39,2014,24.0
40,2014,144.0
42,2014,216.0
47,2014,14.0
49,2014,24.0
50,2014,37.56666666666667
51,2014,18.0
52,2014,23.266666666666666
53,2014,5.833333333333333
54,2014,24.0
55,2014,27.0
56,2014,7.0
57,2014,60.0
58,2015,204.0
59,2014,9.0
60,2014,168.0
61,2014,30.0
62,2015,22.0
63,2015,20.0
64,2014,0.7333333333333333
66,2015,22.0
67,2015,36.06666666666667
68,2015,36.0
69,2018,216.0
70,2016,36.0
73,2015,32.0
74,2016,48.0
75,2015,14.933333333333334
76,2016,36.0
77,2016,36.0
78,2016,96.0
79,2016,36.0
81,2016,30.0
82,2016,14.0
83,2016,18.0
85,2016,42.0
88,2017,24.0
89,2017,48.0
90,2016,24.0
91,2018,32.0
95,2018,22.0
96,2018,48.0
97,2017,108.0
98,2017,21.0
100,2019,40.0
101,2019,24.0
102,2017,4.0
108,2018,48.0
109,2018,44.0
111,2018,30.0
112,2018,30.0
113,2019,16.0
114,2018,36.0
115,2019,48.0
116,2018,48.0
117,2019,36.0
119,2019,24.0
